id_edar,nombre_edar,punto_vertido,volumen_anual_maximo_m3,zona_abaqua,latitud_vertido,latitud_edar,longitud_vertido,longitud_edar,geometry_pg
728,URBANITZACIÓ CALA VEDELLA,TERRENY,42000,PRIVADA,38.9114,38.911482,1.2259,1.2257639999999999,0101000020E6100000D1DF89B5BA9CF33F8562066DAB744340
729,SANT MIQUEL,TORRENT,31649,MUNICIPAL,39.05664,39.056689999999996,1.44181,1.441308,0101000020E6100000EB67F159990FF73FC03A179F41874340
730,CALA MORELL,TERRENY,30000,PRIVADA,40.051809999999996,40.051724,3.8824199999999998,3.882333,0101000020E61000009B4498C3040F0F402FD02AE59E064440
731,URB. TORRESOLÍ,TERRENY,81000,PRIVADA,39.91075,39.910066,4.07018,4.065981,0101000020E6100000523F2BA5904310406C8CA90B7DF44340
732,URB SANT JAUME MEDITERRANI,TERRENY I REUTILITZACIÓ REG,78850,PRIVADA,40.90164,39.901859,4.07395,4.074133,0101000020E61000000BB2677CE94B104098C0951F70F34340
733,URB. ES CANUTELLS,POUS INFILTRACIO,63000,PRIVADA,39.85321,39.853057,4.16988,4.169899,0101000020E61000007C639AE2F9AD1040A0AA9FF730ED4340
734,BINIDALÍ,EMISARI LITORAL,0,ABAQUA (no operativa),0,39.84086,0,4.195715,0101000020E61000006BA0479869C810404B09DB4BA1EB4340
735,AEROPORT MENORCA,TERRENY I REUTILITZACIÓ REG,25000,PRIVADA,39.862469999999995,39.862674,4.227329999999999,4.227326,0101000020E6100000CC79903EC8E81040D18CFA1B6CEE4340
736,ADDAIA,EMISARI LITORAL I REUTILITZACIÓ REG,0,ABAQUA / Menorca 1,40.048,40.007956,4.173,4.173094,0101000020E61000009315F17E3FB1104063F82DB004014440
737,CAN PICAFORT (PROJECTE),EMISARI LITORAL I REUTILITZACIÓ REG,0,Municipal/ABAQUA,39.77,39.750645,3.177,3.160332,0101000020E61000009F34CFE45B48094038CC932115E04340
738,VILA (PROJECTE),EMISARI LITORAL I REUTILITZACIÓ REG,0,ABAQUA / Eivissa 1,38.905,38.930437,1.465,1.407572,0101000020E610000051994AE16985F63FFBA7A89018774340
660,CIUTADELLA NORD,POUS INFILTRACIO,320335,ABAQUA / Menorca 2,40.020551999999995,40.01753,3.787194,3.795381,0101000020E6100000ACDDC4B6F05C0E40C5B54A6C3E024440
