id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
483,1821M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.1,91394172
484,1821M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,911
485,1821M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.2,162001985
486,1821M2,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,22400
487,1821M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,364
488,1821M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0,23655
489,1821M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,313815
490,1821M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.1,5444675
491,1821M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,10860
492,1821M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.18,55935573
493,1821M3,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,241244
1,2001M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,4301263
2,2001M1,Cretaci mitjà,Dolomies,0.15,497091
3,2001M1,Cretaci mitjà,Margues i margocalcàries,0.1,1922424
4,2001M1,Juràssic inferior,Dolomies massives i bretxes,0.2,11151055
5,2001M1,Juràssic superior,Margues,0,6802711
6,2001M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,1122100
7,2001M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,7605435
8,2001M1,Miocè superior (Tortonià),Calcàries arrecifals i calcarenites,0.3,816274
9,2001M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,10232213
10,2001M1,Quaternari,Argiles de descalcificació (karst),0,404449
11,2001M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,345662
12,2001M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,837
13,2001M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,3014491
14,2001M2,Cretaci mitjà,Margues i margocalcàries,0.1,3399180
15,2001M2,Cretaci mitjà,Dolomies,0.15,7566234
16,2001M2,Juràssic inferior,Dolomies massives i bretxes,0.2,1606201
17,2001M2,Juràssic superior,Margues,0,3013924
18,2001M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,5075204
19,2001M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,4646362
20,2001M2,Miocè mitjà (Serravalià),Llims i margues grises,0,70693
21,2001M2,Miocè superior (Tortonià),Calcàries arrecifals i calcarenites,0.05,20301
22,2001M2,Quaternari,Argiles de descalcificació (karst),0,2044502
23,2001M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,7462758
24,2001M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,1191731
25,2002M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,4811747
26,2002M1,Cretaci mitjà,Dolomies,0.15,1337033
27,2002M1,Cretaci mitjà,Margues i margocalcàries,0.1,309138
28,2002M1,Juràssic inferior,Dolomies massives i bretxes,0.2,5402071
29,2002M1,Juràssic superior,Margues,0,7034144
30,2002M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,1951348
31,2002M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,3116409
32,2002M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,9318570
33,2002M1,Quaternari,Argiles de descalcificació (karst),0,1367903
34,2002M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,387034
35,2002M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,2023443
36,2002M2,Juràssic inferior,Dolomies massives i bretxes,0.2,4758
37,2002M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,83
38,2002M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,62176
39,2002M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,15083401
40,2002M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,265320
41,2002M3,Cretaci mitjà,Margues i margocalcàries,0.1,1131939
42,2002M3,Cretaci mitjà,Dolomies,0.15,128702
43,2002M3,Cretaci superior,Calcàries amb globotruncanes,0.15,56234
44,2002M3,Juràssic inferior,Dolomies massives i bretxes,0.2,196539
45,2002M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,10398860
46,2002M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,3761156
47,2002M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,27553513
48,2002M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,139123
49,2002M3,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,470107
50,2003M1,Cretaci mitjà,Margues i margocalcàries,0.1,1607402
51,2003M1,Juràssic inferior,Dolomies massives i bretxes,0.2,1926791
52,2003M1,Juràssic superior,Margues,0,4745655
53,2003M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,52652
54,2003M1,Miocè mitjà (Serravalià),Llims i margues grises,0,423608
55,2003M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.15,9239294
56,2003M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,123261
57,2003M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,58225
58,2003M2,Cretaci mitjà,Margues i margocalcàries,0.1,2042148
59,2003M2,Juràssic inferior,Dolomies massives i bretxes,0.25,2982880
60,2003M2,Juràssic superior,Margues,0,5113218
61,2003M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,247754
62,2003M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.18,4940276
63,2003M2,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,119826
64,2003M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,2890
65,2003M3,Cretaci mitjà,Margues i margocalcàries,0.1,2168227
66,2003M3,Juràssic inferior,Dolomies massives i bretxes,0.2,416269
67,2003M3,Juràssic superior,Margues,0,287391
68,2003M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,2882558
69,2003M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,18928443
70,2003M3,Miocè mitjà (Serravalià),Llims i margues grises,0,2298096
71,2003M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.15,33393168
72,2003M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,178445
73,2003M3,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,1394822
74,2003M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,1136569
75,2003M4,Juràssic inferior,Dolomies massives i bretxes,0.15,7310909
76,2003M4,Juràssic superior,Margues,0,5434564
77,2003M4,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,2029979
78,2003M4,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,453063
79,2003M4,Miocè mitjà (Serravalià),Llims i margues grises,0,374605
80,2003M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,21122157
81,2003M4,Quaternari,Argiles de descalcificació (karst),0,98273
82,2003M4,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,2141887
83,2003M4,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,629439
84,2004M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,2320
85,2004M1,Cretaci mitjà,Margues i margocalcàries,0.1,4709436
86,2004M1,Juràssic inferior,Dolomies massives i bretxes,0.2,2365402
87,2004M1,Juràssic superior,Margues,0,7326755
88,2004M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,3465
89,2004M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,69190
90,2004M1,Miocè mitjà (Serravalià),Llims i margues grises,0,251172
91,2004M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,6167582
92,2004M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,90330
93,2004M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,108354
94,2004M2,Cretaci mitjà,Margues i margocalcàries,0.1,262993
95,2004M2,Juràssic inferior,Dolomies massives i bretxes,0.2,8547793
96,2004M2,Juràssic superior,Margues,0,366533
97,2004M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,115310
98,2004M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,813294
99,2004M2,Miocè mitjà (Serravalià),Llims i margues grises,0,2447634
100,2004M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,24911886
101,2004M2,Quaternari,Argiles de descalcificació (karst),0,137989
102,2004M2,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,1023282
103,2005M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,1923695
104,2005M1,Cretaci mitjà,Margues i margocalcàries,0.1,1898893
105,2005M1,Cretaci mitjà,Dolomies,0.15,5991076
106,2005M1,Cretaci superior,Calcàries amb globotruncanes,0.15,58849
107,2005M1,Juràssic inferior,Dolomies massives i bretxes,0.2,520563
108,2005M1,Juràssic superior,Margues,0,195328
109,2005M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,4116971
110,2005M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,2591203
111,2005M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,23872060
112,2005M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,263799
113,2005M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,471540
114,2005M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.05,1258877
115,2005M2,Cretaci mitjà,Margues i margocalcàries,0.05,4708866
116,2005M2,Cretaci superior,Calcàries amb globotruncanes,0.1,5221192
117,2005M2,Juràssic inferior,Dolomies massives i bretxes,0.2,117519
118,2005M2,Juràssic superior,Margues,0,2089586
119,2005M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,484032
120,2005M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,733895
121,2005M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,7788458
122,2005M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,137481
123,2005M2,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,3907
124,2006M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,34354
125,2006M1,Cretaci mitjà,Margues i margocalcàries,0.1,6603
126,2006M1,Juràssic inferior,Dolomies massives i bretxes,0.2,285082
127,2006M1,Juràssic superior,Margues,0,624
128,2006M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0.05,9606027
129,2006M1,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.1,535
130,2006M1,Miocè mitjà (Serravalià),Llims i margues grises,0,443
131,2006M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.11,11516278
132,2006M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,98695
133,2006M1,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.1,29696
134,2006M2,Cretaci mitjà,Margues i margocalcàries,0.1,873466
135,2006M2,Juràssic inferior,Dolomies massives i bretxes,0.2,836347
136,2006M2,Juràssic superior,Margues,0,4806206
137,2006M2,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,9025
138,2006M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.1,38326157
139,2006M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,1156332
140,2006M3,Cretaci mitjà,Margues i margocalcàries,0.1,5699950
141,2006M3,Juràssic inferior,Dolomies massives i bretxes,0.25,4327790
142,2006M3,Juràssic superior,Margues,0,15628747
143,2006M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Calcisilites grises,0,3870255
144,2006M3,Miocè inferior-mitjà (Aquitan.-Burdigal.),Conglomerats i gresos,0.05,1543084
145,2006M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.15,25977126
146,2006M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,67221
147,2006M3,Triàsic mitjà - superior (Muschelkalk),Calcàries micrítiques i dolomies laminades.,0.15,2152489
148,2101M4,Miocè superior,Conglomerats i llims rojos amb graves,0.05,3321848
149,2101M4,Miocè superior (Tortonià),Calcàries arrecifals i calcarenites,0.2,34230511
150,2101M4,Quaternari,Argiles de descalcificació (karst),0,3553809
151,2101M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa.",0.12,39274703
1,1901M1,Carbonífer,Turbidites mixtes siliciclàstiques i carbonatades,0,16101
2,1901M1,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.25,116121888
3,1901M1,Quaternari,"Llims, argiles i graves",0.15,851849
4,1901M1,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,21960
5,1901M2,Carbonífer,Turbidites mixtes siliciclàstiques i carbonatades,0,313
6,1901M2,Devonià,Gresos i pissarres,0,14
7,1901M2,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.23,98568495
8,1901M2,Quaternari,"Llims, argiles i graves",0.15,4222319
9,1901M2,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,237938
10,1901M3,Carbonífer,Turbidites mixtes siliciclàstiques i carbonatades,0,20181
11,1901M3,Juràssic inferior,Dolomies i calcàries,0.18,16398968
12,1901M3,Miocè inferior-mitjà (Aquitanià-Burdigalià),Conglomerats i gresos,0.05,365407
13,1901M3,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.25,142213646
14,1901M3,Quaternari,"Llims, argiles i graves",0.15,4755548
15,1901M3,Triàsic (Keuper),Margues i evaporites,0,345343
16,1901M3,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,198080
17,1901M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.08,947171
18,1902M2,Juràssic inferior,Dolomies i calcàries,0.15,29190008
19,1902M2,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.2,3471670
20,1902M2,Quaternari,"Llims, argiles i graves",0.15,357872
21,1902M2,Triàsic (Keuper),Margues i evaporites,0,4057267
22,1902M2,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,524051
23,1902M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.08,2458518
24,1902M3,Devonià,Gresos i pissarres,0,10634
25,1902M3,Juràssic inferior,Dolomies i calcàries,0.15,15886390
26,1902M3,Quaternari,"Llims, argiles i graves",0.15,818644
27,1902M3,Triàsic (Keuper),Margues i evaporites,0,3346156
28,1902M3,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,3299836
29,1902M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.08,6232815
30,1903M3,Carbonífer,Turbidites mixtes siliciclàstiques i carbonatades,0,44142405
31,1903M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,1224017
32,1903M3,Devonià,Gresos i pissarres,0,394389
33,1903M3,Juràssic inferior,Dolomies i calcàries,0.18,12012458
34,1903M3,Juràssic mitjà,Margocalcàries,0,1698020
35,1903M3,Juràssic superior,Margues,0,1100135
36,1903M3,Miocè inferior-mitjà (Aquitanià-Burdigalià),Conglomerats i gresos,0.05,312881
37,1903M3,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.25,255190
38,1903M3,Quaternari,"Llims, argiles i graves",0.18,5435546
39,1903M3,Triàsic (Keuper),Margues i evaporites,0,514354
40,1903M3,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,19675623
41,1903M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.08,820561
42,1903M4,Carbonífer,Turbidites mixtes siliciclàstiques i carbonatades,0,51726867
43,1903M4,Devonià,Gresos i pissarres,0,16099862
44,1903M4,Juràssic inferior,Dolomies i calcàries,0.15,2378467
45,1903M4,Miocè superior (Tortonià-Messinià),Calcarenites i calcisilites amb còdols.,0.2,1119956
46,1903M4,Quarsqueratofir,Quarsqueratofir,0,229315
47,1903M4,Quaternari,"Llims, argiles i graves",0.15,18403018
48,1903M4,Triàsic (Keuper),Margues i evaporites,0,206
49,1903M4,Triàsic inferior-mitjà (Buntsandstein),Gresos i lutites vermelles,0,58651454
50,1903M4,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.08,421065
