id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
292,1814M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,3687804
293,1814M1,Oligocè,"Conglomerats, calcàries i argiles",0.18,52578180
294,1814M1,Pliocè superior,Calcarenites biclàstiques groguenques,0.15,43784170
295,1814M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.18,21783592
296,1814M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.22,30692
297,1814M2,Pliocè superior,Calcarenites biclàstiques groguenques,0.15,66271084
298,1814M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.3,2274369
299,1814M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,629118
300,1814M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,60754814
301,1814M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.22,10770411
302,1814M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.3,33187129
303,1814M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,49971
304,1814M3,Oligocè,"Conglomerats, calcàries i argiles",0,378814
305,1814M3,Pliocè inferior,Margues grises amb Ammussium,0.05,15144
306,1814M3,Pliocè superior,Calcarenites biclàstiques groguenques,0,10844
307,1814M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,2069
308,1814M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.2,2180801
309,1814M4,Juràssic Inferior,Dolomies massives i bretxes,0,525033
310,1814M4,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,583656
311,1814M4,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,23207
312,1814M4,Miocè mitjà (Serravalià),Llims i margues grises,0,86414
313,1814M4,Oligocè,"Conglomerats, calcàries i argiles",0.3,160126
314,1814M4,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,53037756
315,1814M4,Pliocè superior,Calcarenites biclàstiques groguenques,0,1111540
316,1814M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,6027693
317,1814M4,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,3201707
318,1815M1,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,17178875
319,1815M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,1089729
320,1815M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,4507829
321,1815M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,1496534
322,1815M1,Oligocè,"Conglomerats, calcàries i argiles",0,6410685
323,1815M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,8680682
324,1815M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,8996683
325,1815M1,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0.22,2284600
326,1815M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.15,3178196
327,1815M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,13495033
